Id,SalePrice
1461,126779.0
1462,152773.0
1463,181408.05
1464,179627.22
1465,199033.88
1466,182474.69
1467,166945.97
1468,175953.14
1469,183277.55
1470,120800.0
1471,196340.38
1472,95552.0
1473,100338.0
1474,153632.52
1475,144278.2
1476,397942.56
1477,250106.02
1478,302408.57
1479,241570.56
1480,452918.53
1481,309791.34
1482,208221.08
1483,175079.14
1484,179032.3
1485,171107.45
1486,199657.28
1487,332522.91
1488,229697.52
1489,217220.12
1490,196868.5
1491,192101.55
1492,102244.9
1493,177828.72
1494,293844.12
1495,298192.26
1496,217909.22
1497,190919.7
1498,154021.38
1499,153188.57
1500,152929.6
1501,177017.32
1502,166438.7
1503,298724.86
1504,236523.36
1505,215249.43
1506,179045.0
1507,222161.96
1508,203638.12
1509,161497.03
1510,149531.5
1511,150783.82
1512,168361.32
1513,150234.89
1514,159132.5
1515,188045.2
1516,162249.0
1517,150780.75
1518,128545.61
1519,222212.36
1520,134595.0
1521,145766.5
1522,160724.74
1523,114012.83
1524,122349.33
1525,123088.89
1526,125837.0
1527,105097.81
1528,128026.74
1529,139081.0
1530,172396.74
1531,131260.5
1532,107146.75
1533,147734.0
1534,116696.49
1535,161651.34
1536,117033.7
1537,80029.04
1538,182696.06
1539,238408.2
1540,113759.53
1541,148548.58
1542,144535.64
1543,224681.84
1544,80848.0
1545,107282.54
1546,120325.08
1547,143386.5
1548,139664.34
1549,118604.51
1550,143086.84
1551,114623.8
1552,152608.83
1553,143591.07
1554,114260.74
1555,171788.0
1556,99134.66
1557,128218.67
1558,96687.51
1559,116352.7
1560,155115.48
1561,156399.5
1562,129193.58
1563,124565.0
1564,165072.31
1565,154698.71
1566,225800.96
1567,79574.5
1568,220623.98
1569,149981.7
1570,123912.0
1571,140640.1
1572,144574.5
1573,238782.2
1574,111132.42
1575,210741.66
1576,210019.5
1577,211694.22
1578,152150.35
1579,142873.02
1580,188291.5
1581,137779.12
1582,129517.5
1583,335682.75
1584,241093.9
1585,142183.0
1586,76071.93
1587,105015.26
1588,153115.89
1589,104936.68
1590,132715.0
1591,105892.41
1592,124739.78
1593,119712.5
1594,142672.74
1595,120828.59
1596,237233.68
1597,173933.73
